                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1472,                 5.2361,                  1.982,                0.68839,                0.68306,                0.63112,                0.35378,                 1.5917,                 4.2792,                 1.4048,                 0.0002,                 0.0002,                 0.0002
                      2,                 1.5647,                   1.65,                 1.3885,                0.61177,                0.71464,                0.69254,                0.38967,                 1.4538,                 1.1369,                 1.3333,             0.00039616,             0.00039616,             0.00039616
                      3,                 1.5673,                 1.3195,                 1.4015,                0.75525,                0.65012,                0.76213,                0.42119,                 1.5127,                 1.1275,                 1.3727,              0.0005755,              0.0005755,              0.0005755
                      4,                 1.5805,                 1.2104,                 1.4098,                0.58018,                0.77316,                0.69809,                 0.3956,                 1.5784,                  1.613,                 1.3894,             0.00073801,             0.00073801,             0.00073801
                      5,                 1.5163,                 1.1697,                 1.3738,                0.56647,                0.90079,                0.72478,                0.42023,                 1.6031,                 1.4135,                 1.4374,             0.00088368,             0.00088368,             0.00088368
                      6,                 1.4969,                 1.1391,                 1.3657,                 0.7854,                0.65179,                0.62808,                0.37018,                 1.4828,                 1.2215,                 1.3674,              0.0010025,              0.0010025,              0.0010025
                      7,                 1.4762,                 1.0244,                 1.3592,                0.65014,                0.93326,                 0.9349,                0.53572,                 1.4301,                 2.3809,                 1.3377,               0.000953,               0.000953,               0.000953
                      8,                 1.4608,                0.98887,                 1.3949,                0.90001,                0.79672,                0.91112,                0.47605,                 1.4391,                0.81779,                 1.3357,              0.0009035,              0.0009035,              0.0009035
                      9,                 1.4913,                0.98944,                 1.3934,                 0.7065,                 0.8601,                0.92184,                0.54048,                 1.4006,                 1.8532,                 1.3235,               0.000854,               0.000854,               0.000854
                     10,                 1.4395,                 0.9344,                 1.3522,                0.72404,                 0.9011,                0.85199,                0.54425,                 1.4017,                 1.3618,                 1.3126,              0.0008045,              0.0008045,              0.0008045
                     11,                  1.473,                0.97075,                  1.364,                0.73538,                0.85858,                0.81551,                0.53714,                 1.3686,                0.80443,                  1.297,               0.000755,               0.000755,               0.000755
                     12,                 1.3678,                 0.8453,                 1.3113,                0.77151,                0.97887,                 0.8479,                0.55202,                 1.4098,                0.69926,                 1.3207,              0.0007055,              0.0007055,              0.0007055
                     13,                 1.3461,                 0.8298,                 1.2888,                0.77037,                0.98912,                0.85561,                0.56218,                 1.2987,                0.60196,                 1.2538,               0.000656,               0.000656,               0.000656
                     14,                 1.3444,                0.76704,                 1.2573,                 0.7102,                0.84507,                0.76368,                0.48154,                 1.3552,                0.61615,                 1.2592,              0.0006065,              0.0006065,              0.0006065
                     15,                 1.3676,                0.80215,                 1.2862,                0.73847,                0.87138,                0.79331,                0.49477,                 1.3684,                0.56767,                 1.2786,               0.000557,               0.000557,               0.000557
                     16,                  1.341,                0.70664,                 1.3062,                0.81677,                0.99624,                0.98592,                0.65365,                 1.3342,                0.57815,                 1.2294,              0.0005075,              0.0005075,              0.0005075
                     17,                 1.3246,                0.68775,                 1.2695,                 0.8273,                0.99275,                0.97791,                0.61644,                 1.3687,                0.59465,                 1.2712,               0.000458,               0.000458,               0.000458
                     18,                 1.2784,                 0.6802,                 1.2756,                0.82676,                0.99638,                 0.9913,                0.61078,                 1.3292,                0.58221,                 1.2541,              0.0004085,              0.0004085,              0.0004085
                     19,                   1.24,                0.65514,                 1.2728,                0.96108,                0.98296,                0.99275,                0.62882,                 1.3042,                0.57011,                 1.2479,               0.000359,               0.000359,               0.000359
                     20,                 1.2613,                0.63043,                 1.2564,                  0.895,                0.99371,                0.98586,                0.62788,                 1.3277,                0.55052,                 1.2157,              0.0003095,              0.0003095,              0.0003095
                     21,                 1.2522,                0.63695,                 1.2304,                0.87695,                0.99114,                0.99286,                0.62835,                 1.3691,                0.55908,                 1.2533,                0.00026,                0.00026,                0.00026
                     22,                 1.2404,                0.63737,                 1.2416,                0.97948,                0.99275,                 0.9933,                0.67875,                 1.2927,                0.51464,                 1.2067,              0.0002105,              0.0002105,              0.0002105
                     23,                 1.2097,                0.57868,                 1.2174,                0.96821,                0.99529,                0.99182,                0.65831,                 1.2945,                0.51157,                 1.2161,               0.000161,               0.000161,               0.000161
                     24,                 1.1836,                0.55781,                 1.2041,                0.97217,                0.99424,                0.99159,                0.67011,                 1.3093,                 0.4916,                 1.2302,              0.0001115,              0.0001115,              0.0001115
                     25,                 1.1626,                0.53136,                 1.2057,                 0.9728,                0.99441,                 0.9917,                0.67656,                 1.3018,                0.48193,                 1.2226,                6.2e-05,                6.2e-05,                6.2e-05
